raw_name,canonical_org,org_type,canonical_homepage_url,facility_name,facility_city,facility_state,facility_country,facility_url,notes
whats the best way to get the website urls for these company sites?,whats the best way to get the website urls for these company sites?,Unknown,,,,,US,,
Aleris (Novelis),Novelis Inc.,Aluminum,https://novelis.com/,,,,US,,
Alcoa Corporation,Alcoa Corporation,Unknown,,,,,US,,
Alliance Steel / regional mills,Alliance Steel / regional mills,Unknown,,,,,US,,
AM/NS Calvert,AM/NS Calvert,Unknown,,,,,US,,
AMG Resources (mill broker/division),AMG Resources (mill broker/division),Unknown,,,,,US,,
Arconic,Arconic Corporation,Aluminum,https://www.arconic.com/,,,,US,,
ArcelorMittal Georgetown (legacy),ArcelorMittal Georgetown (legacy),Unknown,,,,,US,,
ArcelorMittal USA (various operations),ArcelorMittal USA (various operations),Unknown,,,,,US,,
Barrick / Nevada Gold Mines (Carlin Trend),Barrick Gold Corporation,Mining,https://www.barrick.com/,,,,US,,
Bayou Steel (LaPlace – legacy/varies),Bayou Steel (LaPlace – legacy/varies),Unknown,,legacy/varies),,,US,,
Bingham Canyon / Kennecott Mine (UT),Rio Tinto,Mining,https://www.riotinto.com/,,,,US,,
Big River Steel (U.S. Steel),United States Steel Corporation,Steel Mill,https://www.ussteel.com/,,,,US,,
Black Thunder Mine (WY),Arch Resources,Mining,https://www.archrsc.com/,,,,US,,
Burns Harbor Works (Cleveland-Cliffs),Cleveland-Cliffs Inc.,Steel Mill,https://www.clevelandcliffs.com/,Cliffs),,,US,,
Butler Works (Cleveland-Cliffs),Cleveland-Cliffs Inc.,Steel Mill,https://www.clevelandcliffs.com/,Cliffs),,,US,,
California Steel Industries (CSI Fontana),California Steel Industries,Steel Mill,https://www.californiasteel.com/,(CSI Fontana),,,US,,
Capstone Copper – Pinto Valley,Capstone Copper,Mining,https://capstonecopper.com/,Pinto Valley,,,US,,
Carlin Trend Complex (Nevada Gold Mines JV),Nevada Gold Mines,Mining,https://www.nevadagoldmines.com/,Carlin Trend Complex ( JV),,,US,,
"CMC Steel – Baytown, TX",Commercial Metals Company,Steel Mill,https://www.cmc.com/,"Baytown, TX",,,US,,
"CMC Steel – Birmingham, AL",Commercial Metals Company,Steel Mill,https://www.cmc.com/,"Birmingham, AL",,,US,,
"CMC Steel – Knoxville, TN",Commercial Metals Company,Steel Mill,https://www.cmc.com/,"Knoxville, TN",,,US,,
"CMC Steel – Mesa, AZ",Commercial Metals Company,Steel Mill,https://www.cmc.com/,"Mesa, AZ",,,US,,
"CMC Steel – Seguin, TX",Commercial Metals Company,Steel Mill,https://www.cmc.com/,"Seguin, TX",,,US,,
CMC Steel – Various U.S. mini-mills,Commercial Metals Company,Steel Mill,https://www.cmc.com/,Various U.S. mini-mills,,,US,,
Cleveland Works (Cleveland-Cliffs),Cleveland-Cliffs Inc.,Steel Mill,https://www.clevelandcliffs.com/,Cliffs),,,US,,
Climax Molybdenum (Henderson Mine),Freeport-McMoRan,Mining,https://www.fcx.com/,,,,US,,
Constellium – Muscle Shoals,Constellium SE,Aluminum,https://www.constellium.com/,Muscle Shoals,,,US,,
Constellium – Ravenswood,Constellium SE,Aluminum,https://www.constellium.com/,Ravenswood,,,US,,
Cortez / Pipeline Complex (NV),Cortez / Pipeline Complex (NV),Unknown,,,,,US,,
Crawfordsville Mill (Nucor Indiana),Nucor Corporation,Steel Mill,https://www.nucor.com/,,,,US,,
Dearborn Works (Cleveland-Cliffs),Cleveland-Cliffs Inc.,Steel Mill,https://www.clevelandcliffs.com/,Cliffs),,,US,,
Decatur Mill (Nucor Alabama),Nucor Corporation,Steel Mill,https://www.nucor.com/,,,,US,,
Empire Mine (Cliffs – idled),Cleveland-Cliffs Inc.,Mining,https://www.clevelandcliffs.com/,idled),,,US,,
Evraz Pueblo (CO),Evraz Pueblo (CO),Unknown,,,,,US,,
Finkl Steel (Chicago),Finkl Steel (Chicago),Unknown,,,,,US,,
Freeport – Bagdad Mine (AZ),Freeport-McMoRan,Mining,https://www.fcx.com/,Bagdad Mine (AZ),,,US,,
Freeport – Chino Mine (NM),Freeport-McMoRan,Mining,https://www.fcx.com/,Chino Mine (NM),,,US,,
Freeport – Lone Star (AZ),Freeport-McMoRan,Mining,https://www.fcx.com/,Lone Star (AZ),,,US,,
Freeport – Miami Mine (AZ),Freeport-McMoRan,Mining,https://www.fcx.com/,Miami Mine (AZ),,,US,,
Freeport – Morenci Mine (AZ),Freeport-McMoRan,Mining,https://www.fcx.com/,Morenci Mine (AZ),,,US,,
Freeport – Safford Mine (AZ),Freeport-McMoRan,Mining,https://www.fcx.com/,Safford Mine (AZ),,,US,,
Freeport – Sierrita Mine (AZ),Freeport-McMoRan,Mining,https://www.fcx.com/,Sierrita Mine (AZ),,,US,,
Freeport – Tyrone Mine (NM),Freeport-McMoRan,Mining,https://www.fcx.com/,Tyrone Mine (NM),,,US,,
"Gerdau – Cartersville, GA","Gerdau – Cartersville, GA",Unknown,,"Cartersville, GA",,,US,,
"Gerdau – Fort Smith, AR","Gerdau – Fort Smith, AR",Unknown,,"Fort Smith, AR",,,US,,
"Gerdau – Jackson, TN","Gerdau – Jackson, TN",Unknown,,"Jackson, TN",,,US,,
"Gerdau – Midlothian, TX","Gerdau – Midlothian, TX",Unknown,,"Midlothian, TX",,,US,,
"Gerdau – Monroe, MI","Gerdau – Monroe, MI",Unknown,,"Monroe, MI",,,US,,
Granite City Works (U.S. Steel),United States Steel Corporation,Steel Mill,https://www.ussteel.com/,,,,US,,
Greens Creek Mine (AK – Hecla),Greens Creek Mine (AK – Hecla),Unknown,,Hecla),,,US,,
Henderson Molybdenum Mine (CO),Freeport-McMoRan,Mining,https://www.fcx.com/,,,,US,,
Hibbing Taconite (MN – Cliffs),Cleveland-Cliffs Inc.,Mining,https://www.clevelandcliffs.com/,Cliffs),,,US,,
Hycroft Mine (NV),Hycroft Mining Holding Corporation,Mining,https://www.hycroftmining.com/,,,,US,,
Indiana Harbor Works (Cliffs),Cleveland-Cliffs Inc.,Steel Mill,https://www.clevelandcliffs.com/,,,,US,,
Iron Range Mines (MN – various),Iron Range Mines (MN – various),Unknown,,various),,,US,,
JW Aluminum,JW Aluminum,Aluminum,https://www.jwaluminum.com/,,,,US,,
Kaiser Aluminum – Spokane (Trentwood),Kaiser Aluminum,Aluminum,https://www.kaiseraluminum.com/,Spokane (Trentwood),,,US,,
Keetac Mine (U.S. Steel),United States Steel Corporation,Steel Mill,https://www.ussteel.com/,,,,US,,
KGHM – Robinson Mine (NV),KGHM Polska Miedź,Mining,https://kghm.com/,Robinson Mine (NV),,,US,,
Kinross – Round Mountain Mine (NV),Kinross Gold,Mining,https://www.kinross.com/,Round Mountain Mine (NV),,,US,,
Lone Star Mine (Freeport AZ – listed above),Freeport-McMoRan,Mining,https://www.fcx.com/,listed above),,,US,,
Mesabi Range – various mines,Mesabi Range – various mines,Unknown,,various mines,,,US,,
Middletown Works (Cliffs – OH),Cleveland-Cliffs Inc.,Steel Mill,https://www.clevelandcliffs.com/,OH),,,US,,
Minntac Mine (U.S. Steel),United States Steel Corporation,Steel Mill,https://www.ussteel.com/,,,,US,,
Mission Mine (ASARCO/Grupo México – AZ),Mission Mine (ASARCO/Grupo México – AZ),Unknown,,AZ),,,US,,
Morenci Mine (Freeport – AZ),Freeport-McMoRan,Mining,https://www.fcx.com/,AZ),,,US,,
"NLMK USA – Portage, IN","NLMK USA – Portage, IN",Unknown,,"Portage, IN",,,US,,
"NLMK USA – Sharon, PA","NLMK USA – Sharon, PA",Unknown,,"Sharon, PA",,,US,,
North Antelope Rochelle Mine (WY),Peabody Energy,Mining,https://www.peabodyenergy.com/,,,,US,,
Northshore Mining (Cliffs – MN),Cleveland-Cliffs Inc.,Mining,https://www.clevelandcliffs.com/,MN),,,US,,
"Novelis – Oswego, NY",Novelis Inc.,Aluminum,https://novelis.com/,"Oswego, NY",,,US,,
Novelis – other U.S. mills,Novelis Inc.,Aluminum,https://novelis.com/,other U.S. mills,,,US,,
Nucor Steel – Arkansas (Blytheville),Nucor Corporation,Steel Mill,https://www.nucor.com/,Arkansas (Blytheville),,,US,,
"Nucor Steel – Berkeley, SC",Nucor Corporation,Steel Mill,https://www.nucor.com/,"Berkeley, SC",,,US,,
"Nucor Steel – Hertford County, NC",Nucor Corporation,Steel Mill,https://www.nucor.com/,"Hertford County, NC",,,US,,
"Nucor Steel – Jackson, MS",Nucor Corporation,Steel Mill,https://www.nucor.com/,"Jackson, MS",,,US,,
"Nucor Steel – Kankakee, IL",Nucor Corporation,Steel Mill,https://www.nucor.com/,"Kankakee, IL",,,US,,
"Nucor Steel – Plymouth, UT",Nucor Corporation,Steel Mill,https://www.nucor.com/,"Plymouth, UT",,,US,,
"Nucor Steel – Sinton, TX",Nucor Corporation,Steel Mill,https://www.nucor.com/,"Sinton, TX",,,US,,
Nucor Steel – Texas (Jewett),Nucor Corporation,Steel Mill,https://www.nucor.com/,Texas (Jewett),,,US,,
Nucor Steel – various USA divisions,Nucor Corporation,Steel Mill,https://www.nucor.com/,various USA divisions,,,US,,
Olin Brass (Wieland Group),Olin Brass (Wieland Group),Unknown,,,,,US,,
Phelps Dodge (now Freeport legacy ops),Freeport-McMoRan,Mining,https://www.fcx.com/,,,,US,,
Pinto Valley Mine (Capstone Copper – AZ),Capstone Copper,Mining,https://capstonecopper.com/,AZ),,,US,,
Red Dog Mine (AK – Teck),Teck Resources,Mining,https://www.teck.com/,Teck),,,US,,
Revere Copper Products (NY),Revere Copper Products (NY),Unknown,https://reverecopper.com/,,,,US,,
Rio Tinto – Bingham Canyon,Rio Tinto,Mining,https://www.riotinto.com/,Bingham Canyon,,,US,,
Rio Tinto – Kennecott Mines,Rio Tinto,Mining,https://www.riotinto.com/,Kennecott Mines,,,US,,
Safford Mine (Freeport – AZ),Freeport-McMoRan,Mining,https://www.fcx.com/,AZ),,,US,,
Sharon Coating (NLMK PA),Sharon Coating (NLMK PA),Unknown,,,,,US,,
Sinton Mill (SDI – TX),"Steel Dynamics, Inc.",Steel Mill,https://www.steeldynamics.com/,TX),,,US,,
Southwire (copper rod mills – multiple),Southwire (copper rod mills – multiple),Unknown,,multiple),,,US,,
"Steel Dynamics – Butler, IN","Steel Dynamics, Inc.",Steel Mill,https://www.steeldynamics.com/,"Butler, IN",,,US,,
"Steel Dynamics – Columbus, MS","Steel Dynamics, Inc.",Steel Mill,https://www.steeldynamics.com/,"Columbus, MS",,,US,,
"Steel Dynamics – Roanoke, VA","Steel Dynamics, Inc.",Steel Mill,https://www.steeldynamics.com/,"Roanoke, VA",,,US,,
"Steel Dynamics – Structural/Rail – Columbia City, IN","Steel Dynamics, Inc.",Steel Mill,https://www.steeldynamics.com/,"Structural/Rail – Columbia City, IN",,,US,,
"Steel Dynamics – Sinton, TX","Steel Dynamics, Inc.",Steel Mill,https://www.steeldynamics.com/,"Sinton, TX",,,US,,
Stillwater Mine (PGM – MT),Sibanye-Stillwater,Mining,https://www.sibanyestillwater.com/,MT),,,US,,
Tilden Mine (Cliffs – MI),Cleveland-Cliffs Inc.,Mining,https://www.clevelandcliffs.com/,MI),,,US,,
Trentwood Mill (Kaiser),Trentwood Mill (Kaiser),Unknown,,,,,US,,
Taconite Mines – MN (various),Taconite Mines – MN (various),Unknown,,MN (various),,,US,,
Twin Creeks / Turquoise Ridge (NV gold JV),Twin Creeks / Turquoise Ridge (NV gold JV),Unknown,,,,,US,,
U.S. Steel – Gary Works (IN),United States Steel Corporation,Steel Mill,https://www.ussteel.com/,Gary Works (IN),,,US,,
U.S. Steel – Granite City (IL),United States Steel Corporation,Steel Mill,https://www.ussteel.com/,Granite City (IL),,,US,,
U.S. Steel – Mon Valley Works (PA),United States Steel Corporation,Steel Mill,https://www.ussteel.com/,Mon Valley Works (PA),,,US,,
U.S. Steel – Keetac Mine (MN),United States Steel Corporation,Steel Mill,https://www.ussteel.com/,Keetac Mine (MN),,,US,,
Vallejo / California Steel Industries,California Steel Industries,Steel Mill,https://www.californiasteel.com/,Vallejo /,,,US,,
Wieland (U.S. brass mills),Wieland (U.S. brass mills),Unknown,,,,,US,,
Wieland Chase Brass,Wieland Chase Brass,Unknown,,,,,US,,
Wolverine / legacy Michigan mines (historical but sometimes active),Wolverine / legacy Michigan mines (historical but sometimes active),Unknown,,,,,US,,
"Zion/Illinois Steel remnants (historical, leaving only finishing ops)","Zion/Illinois Steel remnants (historical, leaving only finishing ops)",Unknown,,,,,US,,
TOTAL COUNT: ~210 U-Pull-It yards listed,Independent U-Pull-It,Auto U-Pull,,Pull-It yards listed,,,US,,
(Chains + regionals + known independents),(Chains + regionals + known independents),Unknown,,,,,US,,
🟦 1. National Chains (Pull-Your-Own),🟦 1. National Chains (Pull-Your-Own),Unknown,,Your-Own),,,US,,
These are the heavy hitters you already know — global tonnage makers.,These are the heavy hitters you already know — global tonnage makers.,Unknown,,,,,US,,
LKQ / Pick-Your-Part (largest in the U.S.),LKQ Corporation,Auto U-Pull,https://www.lkqcorp.com/,Your-Part (largest in the U.S.),,,US,,
~70+ yards nationwide,~70+ yards nationwide,Unknown,,,,,US,,
(I’m counting each state location as one “yard.”),(I’m counting each state location as one “yard.”),Unknown,,,,,US,,
"LKQ Pick Your Part – California (multiple: Anaheim, Chula Vista, Oceanside, etc.)",LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,"California (multiple: Anaheim, Chula Vista, Oceanside, etc.)",,,US,,
"LKQ Pick Your Part – Texas (Houston, Dallas, Austin, Amarillo, El Paso…)",LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,"Texas (Houston, Dallas, Austin, Amarillo, El Paso…)",,,US,,
"LKQ Pick Your Part – Arizona (Phoenix, Tucson)",LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,"Arizona (Phoenix, Tucson)",,,US,,
LKQ Pick Your Part – Illinois,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,Illinois,,,US,,
LKQ Pick Your Part – Indiana,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,Indiana,,,US,,
